,city,Lat,lon,max temp,Humidity,Cloudiness,wind speed,country,date
0,Vaini,-21.2,-175.2,82.17,69,100,9.01,TO,1583625600
1,Palana,59.1167,159.9667,6.13,88,100,7.74,RU,1583625600
2,Rikitea,-23.1203,-134.9692,80.26,78,100,3.15,PF,1583625600
3,Provideniya,64.3833,-173.3,2.37,90,0,3.74,RU,1583625600
4,Carutapera,-1.195,-46.02,80.15,82,100,5.91,BR,1583625600
5,Ponta do Sol,32.6667,-17.1,63.39,71,100,16.31,PT,1583625600
6,Busselton,-33.65,115.3333,69.4,74,9,9.22,AU,1583625600
7,Nīlēshwar,12.25,75.1,79.47,79,1,9.26,IN,1583625600
8,Hithadhoo,-0.6,73.0833,82.2,67,20,5.21,MV,1583625600
9,Fortuna,40.5982,-124.1573,48.6,58,38,4.97,US,1583625600
10,Kapaa,22.0752,-159.319,77.31,59,100,12.88,US,1583625600
11,Yatou,37.15,122.3833,43.84,89,0,8.48,CN,1583625600
12,Jalu,29.0331,21.5482,67.6,25,0,12.55,LY,1583625600
13,Buala,-8.145,159.5921,84.94,71,100,7.23,SB,1583625600
14,Airai,-8.9266,125.4092,72.82,84,100,1.43,TL,1583625600
15,Torbay,47.6666,-52.7314,26.01,94,100,27.69,CA,1583625600
16,Srednekolymsk,67.45,153.6833,-6.88,86,0,3.36,RU,1583625600
17,Hasaki,35.7333,140.8333,57.38,73,100,9.44,JP,1583625600
18,New Norfolk,-42.7826,147.0587,58.84,53,50,2.66,AU,1583625600
19,Baculin,7.4525,126.5842,74.86,93,94,2.26,PH,1583625600
20,Sioux Lookout,50.1001,-91.917,36.63,93,100,7.07,CA,1583625600
21,Kahului,20.8947,-156.47,72.14,73,100,25.77,US,1583625600
22,Grindavik,63.8424,-22.4338,33.39,52,100,12.71,IS,1583625600
23,Sur,22.5667,59.5289,65.88,45,0,8.66,OM,1583625600
24,Lebu,-37.6167,-73.65,55.54,69,52,10.18,CL,1583625600
25,Punta Arenas,-53.15,-70.9167,52.52,83,100,28.36,CL,1583625600
26,Arraial do Cabo,-22.9661,-42.0278,76.03,80,0,6.98,BR,1583625600
27,Barrow,71.2906,-156.7887,1.4,94,100,5.5,US,1583625600
28,Ushuaia,-54.8,-68.3,49.01,97,100,10.49,AR,1583625600
29,Port Blair,11.6667,92.75,79.77,76,26,10.83,IN,1583625600
30,Dali,25.7,100.1833,42.42,83,18,3.98,CN,1583625600
31,Sola,-13.8833,167.55,85.64,67,26,6.67,VU,1583625600
